tid,competition_name,type,win,goals_for,goals_against,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
10,2010 NHL Regular Season,2,25.0,194.0,267.0,80,Edmonton Oilers,EDM,425,404,63.0,0.3125,2.825894304549876,2.825894304549876
10,2013 NHL Regular Season,2,27.5,201.0,269.0,80,Edmonton Oilers,EDM,370,365,54.0,0.34375,2.825894304549876,2.825894304549876
10,2014 NHL Regular Season,2,23.5,198.0,283.0,80,Edmonton Oilers,EDM,267,277,45.0,0.29375,2.825894304549876,2.825894304549876
10,2015 NHL Regular Season,2,30.0,203.0,245.0,80,Edmonton Oilers,EDM,314,298,47.0,0.375,2.825894304549876,2.825894304549876
10,2016 NHL Regular Season,2,46.0,245.0,211.0,80,Edmonton Oilers,EDM,289,310,55.0,0.575,2.825894304549876,2.825894304549876
10,2017 NHL Regular Season,2,35.0,231.0,263.0,80,Edmonton Oilers,EDM,289,255,28.0,0.4375,2.825894304549876,2.825894304549876
11,2010 NHL Regular Season,2,40.5,250.0,241.0,80,Calgary Flames,CGY,343,374,90.0,0.50625,2.825894304549876,2.825894304549876
11,2013 NHL Regular Season,2,34.5,211.0,241.0,80,Calgary Flames,CGY,300,311,28.0,0.43125,2.825894304549876,2.825894304549876
11,2014 NHL Regular Season,2,42.5,236.0,217.0,80,Calgary Flames,CGY,247,311,58.0,0.53125,2.825894304549876,2.825894304549876
11,2015 NHL Regular Season,2,30.5,208.0,238.0,75,Calgary Flames,CGY,262,301,47.0,0.4066666666666667,2.825894304549876,2.825894304549876
11,2016 NHL Regular Season,2,44.5,223.0,217.0,81,Calgary Flames,CGY,363,337,58.0,0.5493827160493827,2.825894304549876,2.825894304549876
11,2017 NHL Regular Season,2,37.0,223.0,255.0,82,Calgary Flames,CGY,353,350,47.0,0.45121951219512196,2.825894304549876,2.825894304549876
14,2010 NHL Regular Season,2,44.0,252.0,222.0,77,Philadelphia Flyers,PHI,379,369,42.0,0.5714285714285714,2.825894304549876,2.825894304549876
14,2013 NHL Regular Season,2,42.0,239.0,238.0,81,Philadelphia Flyers,PHI,409,383,75.0,0.5185185185185185,2.825894304549876,2.825894304549876
14,2014 NHL Regular Season,2,32.0,219.0,242.0,81,Philadelphia Flyers,PHI,329,314,70.0,0.3950617283950617,2.825894304549876,2.825894304549876
14,2015 NHL Regular Season,2,41.0,216.0,219.0,80,Philadelphia Flyers,PHI,351,368,59.0,0.5125,2.825894304549876,2.825894304549876
14,2016 NHL Regular Season,2,38.0,218.0,238.0,81,Philadelphia Flyers,PHI,317,348,65.0,0.4691358024691358,2.825894304549876,2.825894304549876
14,2017 NHL Regular Season,2,42.0,251.0,244.0,81,Philadelphia Flyers,PHI,280,321,59.0,0.5185185185185185,2.825894304549876,2.825894304549876
16,2010 NHL Regular Season,2,46.5,245.0,214.0,81,San Jose Sharks,SJS,348,363,86.0,0.5740740740740741,2.825894304549876,2.825894304549876
16,2013 NHL Regular Season,2,51.0,260.0,209.0,82,San Jose Sharks,SJS,286,358,59.0,0.6219512195121951,2.825894304549876,2.825894304549876
16,2014 NHL Regular Season,2,39.0,230.0,238.0,81,San Jose Sharks,SJS,299,326,61.0,0.48148148148148145,2.825894304549876,2.825894304549876
16,2015 NHL Regular Season,2,45.0,244.0,214.0,81,San Jose Sharks,SJS,289,338,68.0,0.5555555555555556,2.825894304549876,2.825894304549876
16,2016 NHL Regular Season,2,44.5,212.0,190.0,79,San Jose Sharks,SJS,253,280,44.0,0.5632911392405063,2.825894304549876,2.825894304549876
16,2017 NHL Regular Season,2,43.0,257.0,235.0,80,San Jose Sharks,SJS,262,287,55.0,0.5375,2.825894304549876,2.825894304549876
17,2010 NHL Regular Season,2,43.0,251.0,235.0,82,Buffalo Sabres,BUF,393,364,83.0,0.524390243902439,2.825894304549876,2.825894304549876
17,2013 NHL Regular Season,2,21.0,166.0,254.0,80,Buffalo Sabres,BUF,332,318,40.0,0.2625,2.825894304549876,2.825894304549876
17,2014 NHL Regular Season,2,23.0,166.0,277.0,81,Buffalo Sabres,BUF,325,293,36.0,0.2839506172839506,2.825894304549876,2.825894304549876
17,2015 NHL Regular Season,2,35.5,201.0,220.0,81,Buffalo Sabres,BUF,278,316,15.0,0.4382716049382716,2.825894304549876,2.825894304549876
17,2016 NHL Regular Season,2,32.5,200.0,237.0,81,Buffalo Sabres,BUF,286,288,23.0,0.4012345679012346,2.825894304549876,2.825894304549876
17,2017 NHL Regular Season,2,26.0,182.0,247.0,76,Buffalo Sabres,BUF,257,278,16.0,0.34210526315789475,2.825894304549876,2.825894304549876
18,2010 NHL Regular Season,2,45.5,255.0,235.0,80,Detroit Red Wings,DET,325,339,70.0,0.56875,2.825894304549876,2.825894304549876
18,2013 NHL Regular Season,2,38.0,225.0,231.0,80,Detroit Red Wings,DET,326,311,65.0,0.475,2.825894304549876,2.825894304549876
18,2014 NHL Regular Season,2,42.0,244.0,233.0,81,Detroit Red Wings,DET,337,344,73.0,0.5185185185185185,2.825894304549876,2.825894304549876
18,2015 NHL Regular Season,2,40.0,209.0,220.0,79,Detroit Red Wings,DET,324,318,59.0,0.5063291139240507,2.825894304549876,2.825894304549876
18,2016 NHL Regular Season,2,33.0,213.0,250.0,82,Detroit Red Wings,DET,302,322,46.0,0.4024390243902439,2.825894304549876,2.825894304549876
18,2017 NHL Regular Season,2,29.0,212.0,249.0,79,Detroit Red Wings,DET,293,278,48.0,0.3670886075949367,2.825894304549876,2.825894304549876
19,2010 NHL Regular Season,2,44.0,215.0,189.0,80,Nashville Predators,NSH,315,308,53.0,0.55,2.825894304549876,2.825894304549876
19,2013 NHL Regular Season,2,38.0,221.0,248.0,81,Nashville Predators,NSH,305,310,61.0,0.4691358024691358,2.825894304549876,2.825894304549876
19,2014 NHL Regular Season,2,46.0,235.0,216.0,81,Nashville Predators,NSH,287,312,45.0,0.5679012345679012,2.825894304549876,2.825894304549876
19,2015 NHL Regular Season,2,40.5,222.0,208.0,79,Nashville Predators,NSH,305,310,59.0,0.5126582278481012,2.825894304549876,2.825894304549876
19,2016 NHL Regular Season,2,40.0,234.0,224.0,81,Nashville Predators,NSH,317,333,50.0,0.49382716049382713,2.825894304549876,2.825894304549876
19,2017 NHL Regular Season,2,52.0,268.0,215.0,81,Nashville Predators,NSH,365,334,58.0,0.6419753086419753,2.825894304549876,2.825894304549876
20,2010 NHL Regular Season,2,46.0,250.0,200.0,82,Boston Bruins,BOS,368,370,74.0,0.5609756097560976,2.825894304549876,2.825894304549876
20,2013 NHL Regular Season,2,54.0,265.0,181.0,82,Boston Bruins,BOS,341,309,69.0,0.6585365853658537,2.825894304549876,2.825894304549876
20,2014 NHL Regular Season,2,41.0,217.0,212.0,81,Boston Bruins,BOS,308,279,48.0,0.5061728395061729,2.825894304549876,2.825894304549876
20,2015 NHL Regular Season,2,40.0,230.0,222.0,79,Boston Bruins,BOS,340,300,60.0,0.5063291139240507,2.825894304549876,2.825894304549876
20,2016 NHL Regular Season,2,44.5,238.0,215.0,82,Boston Bruins,BOS,343,323,62.0,0.5426829268292683,2.825894304549876,2.825894304549876
20,2017 NHL Regular Season,2,51.0,274.0,217.0,82,Boston Bruins,BOS,308,319,72.0,0.6219512195121951,2.825894304549876,2.825894304549876
21,2010 NHL Regular Season,2,43.5,227.0,225.0,78,Anaheim Ducks,ANA,401,378,92.0,0.5576923076923077,2.825894304549876,2.825894304549876
21,2013 NHL Regular Season,2,53.0,272.0,217.0,81,Anaheim Ducks,ANA,353,363,67.0,0.654320987654321,2.825894304549876,2.825894304549876
