tid,competition_name,type,win,goals_for,goals_against,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
14,2010 NHL Playoff,3,4.0,29.0,36.0,11,Philadelphia Flyers,PHI,70,69,5.0,0.36363636363636365,2.825894304549876,2.825894304549876
14,2010 NHL Regular Season,2,44.0,252.0,222.0,77,Philadelphia Flyers,PHI,379,369,42.0,0.5714285714285714,2.825894304549876,2.825894304549876
14,2011 NHL Playoff,3,5.0,41.0,44.0,11,Philadelphia Flyers,PHI,68,58,11.0,0.45454545454545453,2.825894304549876,2.825894304549876
14,2011 NHL Regular Season,2,22.0,129.0,114.0,37,Philadelphia Flyers,PHI,223,230,22.0,0.5945945945945946,2.825894304549876,2.825894304549876
14,2012 NHL Regular Season,2,22.5,128.0,134.0,46,Philadelphia Flyers,PHI,250,239,27.0,0.4891304347826087,2.825894304549876,2.825894304549876
14,2013 NHL Playoff,3,3.0,16.0,19.0,7,Philadelphia Flyers,PHI,37,28,6.0,0.42857142857142855,2.825894304549876,2.825894304549876
14,2013 NHL Regular Season,2,42.0,239.0,238.0,81,Philadelphia Flyers,PHI,409,383,75.0,0.5185185185185185,2.825894304549876,2.825894304549876
14,2014 NHL Regular Season,2,32.0,219.0,242.0,81,Philadelphia Flyers,PHI,329,314,70.0,0.3950617283950617,2.825894304549876,2.825894304549876
14,2015 NHL Playoff,3,2.0,6.0,14.0,6,Philadelphia Flyers,PHI,38,32,1.0,0.3333333333333333,2.825894304549876,2.825894304549876
14,2015 NHL Regular Season,2,41.0,216.0,219.0,80,Philadelphia Flyers,PHI,351,368,59.0,0.5125,2.825894304549876,2.825894304549876
14,2016 NHL Regular Season,2,38.0,218.0,238.0,81,Philadelphia Flyers,PHI,317,348,65.0,0.4691358024691358,2.825894304549876,2.825894304549876
14,2017 NHL Playoff,3,2.0,15.0,28.0,6,Philadelphia Flyers,PHI,34,29,2.0,0.3333333333333333,2.825894304549876,2.825894304549876
14,2017 NHL Regular Season,2,42.0,251.0,244.0,81,Philadelphia Flyers,PHI,280,321,59.0,0.5185185185185185,2.825894304549876,2.825894304549876
16,2010 NHL Playoff,3,9.0,50.0,55.0,17,San Jose Sharks,SJS,93,88,17.0,0.5294117647058824,2.825894304549876,2.825894304549876
16,2010 NHL Regular Season,2,46.5,245.0,214.0,81,San Jose Sharks,SJS,348,363,86.0,0.5740740740740741,2.825894304549876,2.825894304549876
16,2011 NHL Playoff,3,1.0,8.0,14.0,5,San Jose Sharks,SJS,28,29,2.0,0.2,2.825894304549876,2.825894304549876
16,2011 NHL Regular Season,2,22.0,111.0,91.0,37,San Jose Sharks,SJS,151,170,37.0,0.5945945945945946,2.825894304549876,2.825894304549876
16,2012 NHL Playoff,3,7.0,25.0,22.0,11,San Jose Sharks,SJS,35,56,11.0,0.6363636363636364,2.825894304549876,2.825894304549876
16,2012 NHL Regular Season,2,25.0,129.0,121.0,48,San Jose Sharks,SJS,194,214,41.0,0.5208333333333334,2.825894304549876,2.825894304549876
16,2013 NHL Playoff,3,3.0,22.0,26.0,7,San Jose Sharks,SJS,43,48,4.0,0.42857142857142855,2.825894304549876,2.825894304549876
16,2013 NHL Regular Season,2,51.0,260.0,209.0,82,San Jose Sharks,SJS,286,358,59.0,0.6219512195121951,2.825894304549876,2.825894304549876
16,2014 NHL Regular Season,2,39.0,230.0,238.0,81,San Jose Sharks,SJS,299,326,61.0,0.48148148148148145,2.825894304549876,2.825894304549876
16,2015 NHL Playoff,3,14.0,75.0,56.0,24,San Jose Sharks,SJS,75,90,29.0,0.5833333333333334,2.825894304549876,2.825894304549876
16,2015 NHL Regular Season,2,45.0,244.0,214.0,81,San Jose Sharks,SJS,289,338,68.0,0.5555555555555556,2.825894304549876,2.825894304549876
16,2016 NHL Playoff,3,2.5,14.0,11.0,6,San Jose Sharks,SJS,17,27,7.0,0.4166666666666667,2.825894304549876,2.825894304549876
16,2016 NHL Regular Season,2,44.5,212.0,190.0,79,San Jose Sharks,SJS,253,280,44.0,0.5632911392405063,2.825894304549876,2.825894304549876
16,2017 NHL Playoff,3,6.0,30.0,26.0,10,San Jose Sharks,SJS,51,57,11.0,0.6,2.825894304549876,2.825894304549876
16,2017 NHL Regular Season,2,43.0,257.0,235.0,80,San Jose Sharks,SJS,262,287,55.0,0.5375,2.825894304549876,2.825894304549876
17,2010 NHL Playoff,3,3.0,17.0,22.0,7,Buffalo Sabres,BUF,48,46,13.0,0.42857142857142855,2.825894304549876,2.825894304549876
17,2010 NHL Regular Season,2,43.0,251.0,235.0,82,Buffalo Sabres,BUF,393,364,83.0,0.524390243902439,2.825894304549876,2.825894304549876
17,2011 NHL Regular Season,2,17.0,106.0,123.0,39,Buffalo Sabres,BUF,190,193,32.0,0.4358974358974359,2.825894304549876,2.825894304549876
17,2012 NHL Regular Season,2,21.0,130.0,149.0,48,Buffalo Sabres,BUF,238,227,31.0,0.4375,2.825894304549876,2.825894304549876
17,2013 NHL Regular Season,2,21.0,166.0,254.0,80,Buffalo Sabres,BUF,332,318,40.0,0.2625,2.825894304549876,2.825894304549876
17,2014 NHL Regular Season,2,23.0,166.0,277.0,81,Buffalo Sabres,BUF,325,293,36.0,0.2839506172839506,2.825894304549876,2.825894304549876
17,2015 NHL Regular Season,2,35.5,201.0,220.0,81,Buffalo Sabres,BUF,278,316,15.0,0.4382716049382716,2.825894304549876,2.825894304549876
17,2016 NHL Regular Season,2,32.5,200.0,237.0,81,Buffalo Sabres,BUF,286,288,23.0,0.4012345679012346,2.825894304549876,2.825894304549876
17,2017 NHL Regular Season,2,26.0,182.0,247.0,76,Buffalo Sabres,BUF,257,278,16.0,0.34210526315789475,2.825894304549876,2.825894304549876
18,2010 NHL Playoff,3,7.0,36.0,27.0,11,Detroit Red Wings,DET,59,55,6.0,0.6363636363636364,2.825894304549876,2.825894304549876
18,2010 NHL Regular Season,2,45.5,255.0,235.0,80,Detroit Red Wings,DET,325,339,70.0,0.56875,2.825894304549876,2.825894304549876
18,2011 NHL Playoff,3,1.0,9.0,13.0,5,Detroit Red Wings,DET,26,28,4.0,0.2,2.825894304549876,2.825894304549876
18,2011 NHL Regular Season,2,25.0,128.0,89.0,39,Detroit Red Wings,DET,160,168,30.0,0.6410256410256411,2.825894304549876,2.825894304549876
18,2012 NHL Playoff,3,7.0,33.0,37.0,14,Detroit Red Wings,DET,62,63,7.0,0.5,2.825894304549876,2.825894304549876
18,2012 NHL Regular Season,2,22.0,117.0,113.0,46,Detroit Red Wings,DET,179,206,38.0,0.4782608695652174,2.825894304549876,2.825894304549876
18,2013 NHL Playoff,3,1.0,6.0,14.0,5,Detroit Red Wings,DET,20,23,2.0,0.2,2.825894304549876,2.825894304549876
18,2013 NHL Regular Season,2,38.0,225.0,231.0,80,Detroit Red Wings,DET,326,311,65.0,0.475,2.825894304549876,2.825894304549876
18,2014 NHL Playoff,3,3.0,15.0,17.0,7,Detroit Red Wings,DET,38,39,9.0,0.42857142857142855,2.825894304549876,2.825894304549876
18,2014 NHL Regular Season,2,42.0,244.0,233.0,81,Detroit Red Wings,DET,337,344,73.0,0.5185185185185185,2.825894304549876,2.825894304549876
