,batterName,Run_Value
210,"Davis, T",-0.30163954300313023
454,"Joseph, Co",-0.3098675008281828
266,Fillmyer,-0.31030598493946604
854,"Stephenson, R",-0.3167042558665174
683,"Peterson, Du",-0.3167042558665174
139,Carrasco,-0.3201469816084171
274,"Flores, W",-0.3217964695719545
968,Winkler,-0.3222631874097671
419,Hirano,-0.322395871242896
741,Riddle,-0.3238393469672921
238,"Duffy, D",-0.32583563092079787
856,Stewart,-0.32583563092079787
579,McRae,-0.32583563092079787
585,"Mendez, Y",-0.32583563092079787
986,Zimmermann,-0.32583563092079787
569,McCullers Jr.,-0.32583563092079787
742,"Rios, Y",-0.3263546798029557
507,Liberatore,-0.34218157518133596
161,Chavez,-0.34218157518133596
47,Avilan,-0.34218157518133596
737,Rhame,-0.34218157518133596
351,Grace,-0.3466193142410644
34,"Aquino, A",-0.36091854419410746
972,Wong,-0.3651551899626183
300,Gallardo,-0.36771608500050645
221,Despaigne,-0.3710161714468929
684,"Peterson, T",-0.38616945042145756
337,"Gomez, R",-0.38616945042145756
440,"Jackson, E",-0.38616945042145756
940,Voth,-0.38616945042145756
698,Plutko,-0.38677721921330593
412,Hess,-0.39006501773212726
752,"Rodriguez, E",-0.395300825475738
68,Beede,-0.395300825475738
262,"Feliz, M",-0.395300825475738
120,Bundy,-0.3969916473998835
280,Font,-0.40155537966601773
936,Viloria,-0.40216854097279375
824,Sims,-0.40537451499456195
499,LeBlanc,-0.41288560596805823
872,Suero,-0.4233088315333553
511,Liriano,-0.4291401201412493
141,Cashner,-0.4313499909475526
382,Hand,-0.43918799646954987
976,Wright Jr.,-0.43918799646954987
928,Velazquez,-0.43918799646954987
953,Weber,-0.43918799646954987
716,"Ramirez, N",-0.43918799646954987
156,Cessa,-0.43918799646954987
182,Corcino,-0.44348449549259583
782,Sale,-0.44759348556220047
974,Woodruff,-0.4544286024173245
344,"Gonzalez, Me",-0.4667972338993155
446,"Johnson, B",-0.4690084209416081
297,"Gagnon, D",-0.4824215744982107
613,Morrow,-0.49581970192657215
730,"Reyes, Al",-0.49581970192657215
663,Peacock,-0.49581970192657215
614,Morton,-0.502403557780748
169,Cishek,-0.5194530394363921
114,"Broxton, K",-0.520591202792974
724,"Reed, M",-0.5223821381916096
595,"Miller, S",-0.5337157919583393
101,Boyd,-0.536263744690245
638,"Norris, Da",-0.5366611970821074
69,Beeks,-0.5507583015511364
910,Turnbull,-0.5507583015511364
538,Makita,-0.5531078455889552
429,"Hudson, D",-0.5541980612290383
285,Franklin,-0.5705440054895764
357,"Gray, S",-0.5705440054895764
263,Ferguson,-0.5739012824403148
596,Mills,-0.5968030737934373
530,Lynn,-0.5982883861150502
623,Musgrave,-0.6054005056754176
775,"Ruiz, R",-0.6123842264538378
102,Bradley Jr.,-0.614717115668187
306,"Gamel, B",-0.6170189758104848
673,"Peralta, Wa",-0.6205140778553334
540,Manaea,-0.6359468161091058
713,"Ramirez, E",-0.6384308967177107
526,"Lugo, D",-0.6427150116328852
328,Glasnow,-0.6521903107237536
799,Saupold,-0.6565517562950609
754,"Rodriguez, Ri",-0.6675504267777903
584,Mella,-0.6675504267777903
717,"Ramirez, Y",-0.6675504267777903
316,Garrett,-0.6685362549842917
878,Swanson,-0.6710293042229207
65,"Beck, C",-0.6765302058035136
15,Alford,-0.6773835606072776
516,Lockett,-0.6932208182849439
971,Wolters,-0.6981628970077303
630,Neris,-0.7015451538537499
582,Mejia,-0.7015451538537499
906,Trevino,-0.7230065150997034
441,"Jackson, L",-0.74236830309657
681,Peters,-0.7459337629851865
78,Betances,-0.7484976521781532
355,Graves,-0.7513858098746004
172,Cloyd,-0.7522605611097858
916,Urias,-0.7539589727678139
593,Miller,-0.755494799944205
603,Montas,-0.7571856218683505
904,Trahan,-0.7620037308097993
457,Junis,-0.7666049364611323
504,Leiter Jr.,-0.7710205736187862
888,Taylor,-0.7799040372472528
14,Alfaro,-0.7862708318873101
168,Cimber,-0.7915439654160196
945,Walding,-0.7978402514056046
240,Duggar,-0.7998140702846079
56,Baron,-0.8102041679164428
512,Lively,-0.8107023245546149
838,"Snyder, B",-0.8117702063246885
359,Greiner,-0.8188972938462242
261,Federowicz,-0.829129983294553
25,Anderson,-0.8365805755818096
251,Eovaldi,-0.8439468387924621
6,Adduci,-0.8803449127407809
368,"Guerrero, G",-0.8821536725108425
812,Severino,-0.8827577269234292
513,Loaisiga,-0.8849141866033013
932,Verlander,-0.8875710011814482
675,Perdomo,-0.8980571150466388
640,Nottingham,-0.9149565984743224
501,Leake,-0.9191989562772833
205,"Davis, A",-0.9284258675881292
381,Hancock,-0.9299075841619904
960,Williams,-0.9339847991313789
472,Keuchel,-0.939304197419168
826,Skoglund,-0.9434131874887726
173,Cobb,-0.9525725540389005
779,Sadler,-0.9726401559157192
760,"Romero, F",-0.9758491935516571
330,Gohara,-0.9768600824863937
327,Giolito,-0.9935892115907883
610,Moroff,-0.9963563914443249
379,Hammel,-0.9978910621430694
978,Yarbrough,-1.0097320019591263
349,Gore,-1.0119727916306662
482,Kivlehan,-1.0172116186638647
597,Milone,-1.0252982358071683
393,Heaney,-1.0277520717641353
726,Reid-Foley,-1.049513912773025
386,"Happ, J",-1.051407057685799
60,Bauer,-1.0572323323618682
269,Flaherty,-1.0583559726640364
795,"Santana, Do",-1.058377909980155
814,Sewald,-1.0714076498639202
13,Alexander,-1.0873545520849823
979,Yates,-1.0881730498599476
875,Suzuki,-1.1179672892822055
277,Flowers,-1.1204715688998381
783,Saltalamacchia,-1.1300178221072557
668,"Pena, Fe",-1.144964336812049
703,Ponce de Leon,-1.156623835736128
901,"Torres, Ra",-1.1670860700514427
818,Shields,-1.1677659785979255
367,Guerrero,-1.1838429762784553
923,Valera,-1.1955703867912555
428,Hudson,-1.1963736183379003
774,Rucinski,-1.1990218417843148
338,Gonzales,-1.2006089141346796
702,Pompey,-1.2054956531107215
477,Kingham,-1.2127289120692106
735,Reynolds,-1.2135414681931145
212,De Los Santos,-1.2221878132486446
333,Gomber,-1.2253601833516952
87,Blackburn,-1.2676604461313152
736,"Reynolds, Matt",-1.295421937238783
21,"Alonso, Y",-1.307209056584101
948,"Walker, T",-1.316907430379501
870,"Suarez, R",-1.323060663909943
137,Carle,-1.3240465711416844
50,"Baez, P",-1.3259694785013
170,Ciuffo,-1.327119738820293
227,"Dickerson, C",-1.3521222582196046
649,Odorizzi,-1.3576469609778818
674,Peraza,-1.3736380442238232
124,"Butler, D",-1.3861132366327031
629,Negron,-1.3891058235794966
45,Avelino,-1.4003691505471947
176,Colon,-1.4236591047171838
452,Joseph,-1.431999053899423
171,Clevinger,-1.4335849431028747
577,McMahon,-1.447983051927268
7,Adrianza,-1.4660097060716388
514,Lobaton,-1.466131029832457
259,Farrell,-1.4662865119348505
364,Guerra,-1.4808747743452866
272,Fletcher,-1.4831636454747168
375,Haase,-1.4970479320136056
276,Floro,-1.4995180378085133
710,Pujols,-1.5191070457796063
267,Finnegan,-1.5205171110985634
519,"Lopez, P",-1.5249323863285207
467,Kendrick,-1.5265014628479272
643,"Nunez, R",-1.528020641622213
336,"Gomez, M",-1.543299399413587
576,McKinney,-1.5600095827914595
486,Kozma,-1.5619164252082625
766,Rosales,-1.5627846448103813
970,Wisler,-1.5644540330168601
918,Utley,-1.5735896123438105
288,"Frazier, T",-1.5754222715425112
850,Stallings,-1.5788899705822175
322,Gentry,-1.5850573964646666
639,Norwood,-1.5953682154558613
365,"Guerra, J",-1.59689863182543
798,Sardinas,-1.642162838025681
509,"Lin, T",-1.652821550108441
94,Bonifacio,-1.6649643988876077
571,McFarland,-1.6870932060303407
437,"Iglesias, R",-1.7098759831543582
666,Pedroia,-1.7443116696689658
350,Gosselin,-1.74574829802744
743,"Rivera, R",-1.7788138899537107
76,Berrios,-1.782307355491445
816,"Shaw, C",-1.803692482912413
295,Fried,-1.832213925014436
97,Bote,-1.8386747742390848
424,"Holmes, C",-1.8443547457578222
175,"Cole, G",-1.8624350608477558
308,"Garcia, A",-1.8631163998725218
527,"Lugo, S",-1.8680274337132659
551,"Martin, L",-1.8709237168561323
886,"Tapia, R",-1.874078582984435
697,Plouffe,-1.8794118280038439
95,"Bonifacio, J",-1.91910278097032
867,Strop,-1.9678107505090092
463,Kelly,-1.9780307588550907
314,Gardner,-1.981433992281854
24,"Alvarez, P",-1.986483905288805
685,"Petit, G",-2.0064439380177
843,"Soroka, M",-2.0134395520936934
780,Saladino,-2.021297424625565
140,Casali,-2.026957290875114
615,Motter,-2.0271168138108457
502,Lee,-2.0449944267616966
944,Wainwright,-2.056986557448661
861,Straily,-2.100576371227521
908,Trumbo,-2.104141648435694
903,Toussaint,-2.1073597302776568
436,"Iglesias, J",-2.1078706162974585
312,"Garcia, J",-2.138457765103065
946,Walker,-2.1423360860853586
281,Fontana,-2.155894518315605
275,Florimon,-2.240247949251826
64,"Bautista, R",-2.25089222951088
601,Moncada,-2.25457602407125
892,Telis,-2.2618810609517253
489,Kuhl,-2.300717840062716
483,Kluber,-2.3064042499570956
884,Tanaka,-2.3201503405959163
789,"Sanchez, G",-2.3376027186861816
784,Samardzija,-2.34775407898749
604,"Montero, M",-2.3769715104027935
553,"Martinez, C",-2.4204067556514297
233,"Dozier, B",-2.428848125485161
787,"Sanchez, Ad",-2.462692079015692
448,"Johnson, S",-2.468909021658026
753,"Rodriguez, J",-2.4839690790992606
303,Galloway,-2.5043782551025218
771,"Ross, J",-2.51216000926448
469,"Kennedy, B",-2.5428280418959104
235,Drury,-2.5474946393867035
404,"Hernandez, F",-2.547806380008191
299,Gallagher,-2.5556357899825355
567,"McCann, J",-2.5612111210003743
131,"Calhoun, W",-2.579995481176204
891,Teheran,-2.7063072296718094
949,Wallach,-2.7128364470798005
257,Evans,-2.733331320768824
195,Cueto,-2.7609312917792144
473,Kieboom,-2.761205419151092
180,Cooper,-2.764836965407398
696,Plawecki,-2.764850446879491
957,Wieters,-2.776205208427517
296,"Fulmer, M",-2.7878327589154805
860,Strahm,-2.7969326600599893
455,Joyce,-2.8255367477462414
112,Brito,-2.842835933633794
58,Barria,-2.8562989205225935
304,Galvis,-2.860709965650114
10,Alberto,-2.8674454682571295
740,Rickard,-2.87228896754388
147,"Castro, D",-2.872855562645729
326,Gimenez,-2.9064886170638045
443,Jansen,-2.939709598840594
12,Alcantara,-2.943627113694478
319,Gausman,-2.9699656758089064
797,Santiago,-2.9996415384737416
992,den Dekker,-3.0155922892377927
54,"Barnes, B",-3.017569844622875
291,"Freeman, F",-3.0397198868175783
253,Ervin,-3.044246233375094
287,"Frazier, C",-3.057049228269762
228,Dietrich,-3.0656135052528297
723,Reed,-3.107090965398192
778,Ryu,-3.1855437649981955
706,Powell,-3.2374895238596646
633,Ngoepe,-3.2452344581323245
268,Fisher,-3.298677766874427
656,Oswalt,-3.3088129580069667
746,Roark,-3.3580578889553796
485,Koch,-3.367437695740343
788,"Sanchez, An",-3.3697156375938087
