shoot_player,shot_count,avg_shot_game
Kawhi Leonard,1312,17.72972972972973
Kay Felder,158,4.388888888888889
Kelly Olynyk,509,6.786666666666667
Kelly Oubre Jr.,443,5.828947368421052
Kemba Walker,1451,18.367088607594937
Kenneth Faried,415,6.916666666666667
Kent Bazemore,722,9.89041095890411
Kentavious Caldwell-Pope,928,12.373333333333333
Kevin Durant,1026,16.548387096774192
Kevin Love,867,14.45
Kevin Seraphin,198,4.304347826086956
Kevon Looney,107,2.3260869565217392
Khris Middleton,333,11.482758620689655
Klay Thompson,1376,17.641025641025642
Kosta Koufos,392,5.6
Kris Dunn,313,4.064935064935065
Kris Humphries,214,3.890909090909091
Kristaps Porzingis,985,14.924242424242424
Kyle Anderson,209,3.603448275862069
Kyle Korver,514,7.6716417910447765
Kyle Lowry,918,15.3
Kyle O'Quinn,413,5.294871794871795
Kyle Singler,83,3.1923076923076925
Kyle Wiltjer,14,1.75
Kyrie Irving,1420,19.72222222222222
LaMarcus Aldridge,1049,14.569444444444445
Lamar Patterson,15,3.75
Lance Stephenson,120,7.0588235294117645
Lance Thomas,244,5.304347826086956
Langston Galloway,545,7.569444444444445
Larry Nance Jr.,363,5.950819672131147
Larry Sanders,4,1.3333333333333333
Lavoy Allen,168,3.169811320754717
LeBron James,1344,18.16216216216216
Leandro Barbosa,393,6.140625
Lou Williams,998,12.320987654320987
Luc Mbah a Moute,378,4.784810126582278
Lucas Nogueira,156,3.466666666666667
Luis Scola,151,4.4411764705882355
Luke Babbitt,281,4.390625
Luol Deng,425,7.589285714285714
Malachi Richardson,68,3.4
Malcolm Brogdon,634,8.453333333333333
Malcolm Delaney,387,5.301369863013699
Malik Beasley,73,4.055555555555555
Manny Harris,13,4.333333333333333
Manu Ginobili,439,6.36231884057971
Marc Gasol,1160,15.675675675675675
Marcelo Huertas,68,3.4
Marcin Gortat,674,8.21951219512195
Marco Belinelli,615,8.31081081081081
Marcus Georges-Hunt,7,2.3333333333333335
Marcus Morris,1007,12.746835443037975
Marcus Smart,748,9.468354430379748
Marcus Thornton,210,6.363636363636363
Mario Hezonja,330,5.5
Markieff Morris,889,11.697368421052632
Marquese Chriss,632,7.802469135802469
Marreese Speights,546,6.658536585365853
Marshall Plumlee,29,2.6363636363636362
Marvin Williams,703,9.25
Mason Plumlee,625,7.716049382716049
Matt Barnes,473,6.391891891891892
Matthew Dellavedova,534,7.026315789473684
Maurice Harkless,625,8.116883116883116
Maurice Ndour,84,3.230769230769231
Metta World Peace,68,3.7777777777777777
Meyers Leonard,379,5.338028169014085
Michael Beasley,405,7.232142857142857
Michael Carter-Williams,306,7.285714285714286
Michael Gbinije,10,1.4285714285714286
Michael Kidd-Gilchrist,618,7.62962962962963
Mike Conley,1009,14.623188405797102
Mike Dunleavy,220,4.230769230769231
Mike Miller,23,2.3
Mike Muscala,337,5.106060606060606
Mike Scott,58,3.411764705882353
Mike Tobey,4,2.0
Miles Plumlee,92,2.5555555555555554
Mindaugas Kuzminskas,368,5.661538461538462
Mirza Teletovic,418,6.057971014492754
Monta Ellis,557,7.527027027027027
Montrezl Harrell,345,6.160714285714286
Myles Turner,870,10.74074074074074
Nemanja Bjelica,356,5.476923076923077
Nene Hilario,397,5.925373134328358
Nerlens Noel,310,6.2
Nick Collison,23,2.5555555555555554
Nick Young,632,10.711864406779661
Nicolas Batum,974,12.64935064935065
Nicolas Brussino,141,3.710526315789474
Nicolas Laprovittola,47,3.9166666666666665
Nik Stauskas,633,7.9125
Nikola Jokic,856,11.726027397260275
Nikola Mirotic,624,8.914285714285715
Nikola Vucevic,1033,13.773333333333333
Noah Vonleh,270,4.21875
Norman Powell,507,6.945205479452055
Norris Cole,52,4.333333333333333
Okaro White,87,3.0
Omer Asik,65,2.6
Omri Casspi,165,4.583333333333333
Otto Porter Jr.,803,10.0375
P.J. Tucker,481,6.0886075949367084
Pascal Siakam,205,3.8679245283018866
Pat Connaughton,72,3.0
Patricio Garino,7,1.75
Patrick Beverley,543,8.104477611940299
Patrick McCaw,245,4.083333333333333
Patrick Patterson,384,5.907692307692308
Patty Mills,621,7.7625
Pau Gasol,604,9.4375
Paul George,1348,17.973333333333333
Paul Millsap,972,14.08695652173913
Paul Pierce,70,3.3333333333333335
Paul Zipser,221,5.390243902439025
Pierre Jackson,39,5.571428571428571
