shoot_player,conse_shot_hit,average_lag_hit,conditional_prob,average_hit,diff_prob,shot_count
Chasson Randle,0.18421052631578946,0.40789473684210525,0.45161290322580644,0.4081632653061224,0.04344963791968404,98
Cheick Diallo,0.2786885245901639,0.4918032786885246,0.5666666666666667,0.4736842105263157,0.09298245614035094,76
Chinanu Onuaku,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.2857142857142857,7
Chris Andersen,0.16666666666666666,0.3333333333333333,0.5,0.4090909090909091,0.09090909090909088,22
Chris McCullough,0.3888888888888889,0.5555555555555556,0.7,0.5,0.19999999999999996,32
Chris Paul,0.21132596685082872,0.48480662983425415,0.43589743589743585,0.4764331210191083,-0.04053568512167244,785
Christian Wood,0.35714285714285715,0.6428571428571429,0.5555555555555556,0.5217391304347826,0.033816425120772986,23
Clint Capela,0.4024144869215292,0.6498993963782697,0.6191950464396285,0.6441281138790036,-0.024933067439375067,562
Cody Zeller,0.32808398950131235,0.5669291338582677,0.5787037037037037,0.5711060948081265,0.007597608895577257,443
Cole Aldrich,0.23809523809523808,0.5952380952380952,0.39999999999999997,0.5232558139534884,-0.12325581395348845,86
Corey Brewer,0.17228464419475656,0.45318352059925093,0.38016528925619836,0.4224137931034483,-0.04224850384724993,348
Cory Joseph,0.19793459552495696,0.46471600688468157,0.42592592592592593,0.4523449319213313,-0.026419005995405365,661
Courtney Lee,0.20414673046251994,0.45454545454545453,0.44912280701754387,0.4559659090909091,-0.006843102073365248,704
Cristiano Felicio,0.3270440251572327,0.5974842767295597,0.5473684210526316,0.5765765765765766,-0.029208155523944956,222
D'Angelo Russell,0.15403726708074533,0.4161490683229814,0.3701492537313433,0.4048442906574394,-0.0346950369260961,867
D.J. Augustin,0.15261958997722094,0.4031890660592255,0.37853107344632764,0.3771760154738878,0.0013550579724398437,517
Damian Jones,0.2222222222222222,0.4444444444444444,0.5,0.5,0.0,16
Damian Lillard,0.18741159830268742,0.44695898161244696,0.41930379746835444,0.4439220953660174,-0.024618297897662955,1489
Damjan Rudez,0.23076923076923078,0.4230769230769231,0.5454545454545455,0.3522727272727273,0.19318181818181823,88
Daniel Ochefu,0.23076923076923078,0.6153846153846154,0.375,0.4444444444444444,-0.06944444444444442,27
Danilo Gallinari,0.1950509461426492,0.4512372634643377,0.4322580645161291,0.4466666666666666,-0.01440860215053752,750
Danny Green,0.1368421052631579,0.3815789473684211,0.3586206896551724,0.3928571428571428,-0.034236453201970385,448
Dante Cunningham,0.24489795918367346,0.4897959183673469,0.5,0.4846796657381615,0.015320334261838486,359
Dante Exum,0.20735785953177258,0.4280936454849498,0.484375,0.4258241758241758,0.05855082417582419,364
Dario Saric,0.1773049645390071,0.42080378250591016,0.4213483146067416,0.4110032362459547,0.010345078360786908,927
Darrell Arthur,0.2,0.4742857142857143,0.42168674698795183,0.4418604651162791,-0.020173718128327245,215
Darren Collison,0.23565891472868217,0.4868217054263566,0.48407643312101906,0.4768583450210378,0.007218088099981257,713
Darrun Hilliard,0.14893617021276595,0.40425531914893614,0.3684210526315789,0.373015873015873,-0.004594820384294096,126
David Lee,0.36257309941520466,0.5847953216374269,0.62,0.5904761904761905,0.029523809523809508,420
David Nwaba,0.3387096774193548,0.5483870967741935,0.6176470588235294,0.5802469135802469,0.0374001452432825,81
David West,0.2608695652173913,0.5489130434782609,0.4752475247524752,0.5357142857142857,-0.06046676096181047,252
Davis Bertans,0.2346368715083799,0.48044692737430167,0.48837209302325585,0.4401709401709401,0.04820115285231574,234
DeAndre Jordan,0.4939516129032258,0.6995967741935484,0.7060518731988473,0.7140381282495667,-0.00798625505071937,577
DeAndre Liggins,0.11578947368421053,0.4105263157894737,0.28205128205128205,0.3873239436619718,-0.10527266161068977,142
DeAndre' Bembry,0.20588235294117646,0.4411764705882353,0.4666666666666667,0.4795918367346938,-0.012925170068027125,98
DeMar DeRozan,0.21549966009517335,0.4629503738953093,0.4654919236417034,0.4666666666666667,-0.0011747430249632873,1545
DeMarcus Cousins,0.19103600293901543,0.4533431300514328,0.4213938411669368,0.4515003489183531,-0.030106507751416323,1433
