shoot_player,average_hit
Shelvin Mack,0.4461942257217848
Skal Labissiere,0.5391705069124424
Solomon Hill,0.38445378151260506
Spencer Dinwiddie,0.44224422442244227
Spencer Hawes,0.48375451263537905
Stanley Johnson,0.35342465753424657
Stephen Curry,0.46745152354570635
Stephen Zimmerman,0.3225806451612903
Steve Novak,0.2857142857142857
Steven Adams,0.5718654434250765
TJ McConnell,0.4609375
TJ Warren,0.4956949569495695
Taj Gibson,0.5155367231638418
Tarik Black,0.5119453924914675
Taurean Prince,0.3986013986013986
Terrence Jones,0.47046843177189407
Terrence Ross,0.43699731903485256
Terry Rozier,0.36739659367396593
Thabo Sefolosha,0.4416243654822335
Thaddeus Young,0.5269286754002911
Thomas Robinson,0.5357142857142857
Thon Maker,0.4585635359116022
Tiago Splitter,0.45161290322580644
Tim Frazier,0.4034653465346535
Tim Hardaway Jr.,0.4550438596491228
Tim Quarterman,0.4482758620689655
Timofey Mozgov,0.5152439024390244
Timothe Luwawu-Cabarrot,0.4027777777777778
Tobias Harris,0.48026315789473684
Tomas Satoransky,0.4178082191780822
Toney Douglas,0.36752136752136755
Tony Allen,0.46050420168067224
Tony Parker,0.46572934973637964
Tony Snell,0.45387453874538747
Treveon Graham,0.475
Trevor Ariza,0.4090338770388959
Trevor Booker,0.5160744500846024
Trey Burke,0.4566929133858268
Trey Lyles,0.3621867881548975
Tristan Thompson,0.5995423340961098
Troy Daniels,0.37298387096774194
Troy Williams,0.43506493506493504
Ty Lawson,0.4540229885057471
Tyler Ennis,0.4326923076923077
Tyler Johnson,0.43063932448733416
Tyler Ulis,0.4200913242009132
Tyler Zeller,0.4936708860759494
Tyreke Evans,0.40540540540540543
Tyson Chandler,0.6710526315789473
Tyus Jones,0.4143646408839779
Udonis Haslem,0.4782608695652174
Victor Oladipo,0.4434876210979548
Vince Carter,0.39387755102040817
Wade Baldwin IV,0.3157894736842105
Walter Tavares,0.8
Wayne Ellington,0.41621621621621624
Wayne Selden,0.43103448275862066
Wesley Johnson,0.365
Wesley Matthews,0.39315230224321135
Will Barton,0.44227886056971516
Willie Cauley-Stein,0.5301455301455301
Willie Reed,0.5684210526315789
Wilson Chandler,0.46063829787234045
Yogi Ferrell,0.40609137055837563
Zach LaVine,0.4591549295774648
Zach Randolph,0.4491701244813278
Zaza Pachulia,0.5359477124183006
