shoot_player,date,shot_per_game
Al Jefferson,2016-12-14,5
Al Jefferson,2016-12-15,13
Al Jefferson,2016-12-17,10
Al Jefferson,2016-12-19,10
Al Jefferson,2016-12-20,11
Al Jefferson,2016-12-22,4
Al Jefferson,2016-12-26,9
Al Jefferson,2016-12-28,3
Al Jefferson,2016-12-30,6
Al Jefferson,2017-01-01,9
Al Jefferson,2017-01-03,7
Al Jefferson,2017-01-05,5
Al Jefferson,2017-01-07,9
Al Jefferson,2017-01-12,5
Al Jefferson,2017-01-16,7
Al Jefferson,2017-01-18,12
Al Jefferson,2017-01-20,15
Al Jefferson,2017-01-21,4
Al Jefferson,2017-01-23,8
Al Jefferson,2017-01-26,6
Al Jefferson,2017-01-27,9
Al Jefferson,2017-01-29,5
Al Jefferson,2017-02-01,7
Al Jefferson,2017-02-03,9
Al Jefferson,2017-02-04,9
Al Jefferson,2017-02-06,9
Al Jefferson,2017-02-08,2
Al Jefferson,2017-02-10,6
Al Jefferson,2017-02-11,6
Al Jefferson,2017-02-13,6
Al Jefferson,2017-02-15,7
Al Jefferson,2017-02-16,8
Al Jefferson,2017-03-05,4
Al Jefferson,2017-03-06,1
Al Jefferson,2017-03-08,10
Al Jefferson,2017-03-10,7
Al Jefferson,2017-03-19,1
Al Jefferson,2017-03-20,9
Al Jefferson,2017-03-22,3
Al Jefferson,2017-03-24,6
Al Jefferson,2017-03-26,9
Al-Farouq Aminu,2016-10-25,6
Al-Farouq Aminu,2016-10-27,6
Al-Farouq Aminu,2016-10-29,6
Al-Farouq Aminu,2016-11-01,11
Al-Farouq Aminu,2016-11-02,8
Al-Farouq Aminu,2016-11-04,13
Al-Farouq Aminu,2016-11-06,10
Al-Farouq Aminu,2016-11-08,1
Al-Farouq Aminu,2016-12-05,3
Al-Farouq Aminu,2016-12-07,5
Al-Farouq Aminu,2016-12-08,9
Al-Farouq Aminu,2016-12-12,6
Al-Farouq Aminu,2016-12-21,4
Al-Farouq Aminu,2016-12-23,6
Al-Farouq Aminu,2016-12-26,7
Al-Farouq Aminu,2016-12-28,6
Al-Farouq Aminu,2016-12-30,9
Al-Farouq Aminu,2017-01-01,7
Al-Farouq Aminu,2017-01-04,7
Al-Farouq Aminu,2017-01-05,8
Al-Farouq Aminu,2017-01-08,10
Al-Farouq Aminu,2017-01-10,6
Al-Farouq Aminu,2017-01-11,16
Al-Farouq Aminu,2017-01-13,9
Al-Farouq Aminu,2017-01-16,9
Al-Farouq Aminu,2017-01-18,7
Al-Farouq Aminu,2017-01-20,6
Al-Farouq Aminu,2017-01-21,6
Al-Farouq Aminu,2017-01-25,5
Al-Farouq Aminu,2017-01-27,9
Al-Farouq Aminu,2017-01-29,10
Al-Farouq Aminu,2017-01-31,8
Al-Farouq Aminu,2017-02-03,10
Al-Farouq Aminu,2017-02-05,8
Al-Farouq Aminu,2017-02-07,10
Al-Farouq Aminu,2017-02-09,12
Al-Farouq Aminu,2017-02-13,14
Al-Farouq Aminu,2017-02-26,6
Al-Farouq Aminu,2017-02-28,5
Al-Farouq Aminu,2017-03-02,9
Al-Farouq Aminu,2017-03-04,13
Al-Farouq Aminu,2017-03-07,6
Al-Farouq Aminu,2017-03-09,7
Al-Farouq Aminu,2017-03-11,6
Al-Farouq Aminu,2017-03-12,8
Al-Farouq Aminu,2017-03-14,3
Al-Farouq Aminu,2017-03-15,4
Al-Farouq Aminu,2017-03-18,4
Al-Farouq Aminu,2017-03-19,1
Al-Farouq Aminu,2017-03-21,4
Al-Farouq Aminu,2017-03-23,11
Al-Farouq Aminu,2017-03-25,5
Al-Farouq Aminu,2017-03-26,6
Al-Farouq Aminu,2017-03-28,7
Al-Farouq Aminu,2017-03-30,10
Al-Farouq Aminu,2017-04-01,11
Al-Farouq Aminu,2017-04-03,14
Al-Farouq Aminu,2017-04-04,7
Al-Farouq Aminu,2017-04-06,11
Al-Farouq Aminu,2017-04-08,8
Al-Farouq Aminu,2017-04-10,7
Alan Anderson,2016-11-09,3
Alan Anderson,2016-12-01,3
Alan Anderson,2016-12-07,2
Alan Anderson,2016-12-10,6
Alan Anderson,2016-12-12,2
Alan Anderson,2016-12-14,1
Alan Anderson,2016-12-16,1
Alan Anderson,2016-12-20,2
Alan Anderson,2016-12-23,1
Alan Anderson,2016-12-26,1
Alan Anderson,2016-12-28,3
Alan Anderson,2016-12-30,9
Alan Anderson,2016-12-31,7
Alan Anderson,2017-01-14,3
Alan Anderson,2017-01-16,5
Alan Anderson,2017-01-21,6
Alan Anderson,2017-01-28,4
Alan Anderson,2017-02-01,1
Alan Anderson,2017-02-08,1
Alan Anderson,2017-02-11,3
Alan Anderson,2017-02-13,2
Alan Anderson,2017-02-15,4
Alan Anderson,2017-02-26,2
Alan Anderson,2017-03-01,1
Alan Anderson,2017-03-16,3
Alan Anderson,2017-03-30,1
Alan Anderson,2017-04-01,2
Alan Anderson,2017-04-05,1
Alan Williams,2016-10-31,1
Alan Williams,2016-11-12,1
Alan Williams,2016-11-16,1
Alan Williams,2016-11-18,7
Alan Williams,2016-11-19,8
Alan Williams,2016-11-21,3
Alan Williams,2016-11-27,1
Alan Williams,2016-12-03,3
Alan Williams,2016-12-15,3
Alan Williams,2016-12-17,3
Alan Williams,2016-12-21,1
Alan Williams,2017-01-16,2
Alan Williams,2017-01-26,1
Alan Williams,2017-01-30,3
Alan Williams,2017-02-04,1
Alan Williams,2017-02-10,12
Alan Williams,2017-02-11,2
Alan Williams,2017-02-15,2
Alan Williams,2017-02-24,9
Alan Williams,2017-02-26,13
Alan Williams,2017-02-28,8
Alan Williams,2017-03-02,9
Alan Williams,2017-03-03,15
Alan Williams,2017-03-05,12
Alan Williams,2017-03-07,9
Alan Williams,2017-03-09,9
Alan Williams,2017-03-11,7
Alan Williams,2017-03-12,11
Alan Williams,2017-03-15,16
Alan Williams,2017-03-17,6
Alan Williams,2017-03-19,11
Alan Williams,2017-03-23,6
Alan Williams,2017-03-24,9
Alan Williams,2017-03-26,7
Alan Williams,2017-03-28,5
Alan Williams,2017-03-30,6
Alan Williams,2017-04-01,7
Alan Williams,2017-04-02,6
Alan Williams,2017-04-05,9
Alan Williams,2017-04-07,5
Alan Williams,2017-04-09,7
Alan Williams,2017-04-11,10
Alec Burks,2017-01-02,1
Alec Burks,2017-01-05,1
Alec Burks,2017-01-07,3
Alec Burks,2017-01-13,4
Alec Burks,2017-01-14,5
Alec Burks,2017-01-16,4
Alec Burks,2017-01-20,3
Alec Burks,2017-01-21,8
Alec Burks,2017-01-23,7
Alec Burks,2017-01-24,9
Alec Burks,2017-01-26,9
Alec Burks,2017-01-28,5
Alec Burks,2017-02-01,7
Alec Burks,2017-02-04,9
Alec Burks,2017-02-06,5
Alec Burks,2017-02-08,8
Alec Burks,2017-02-09,11
Alec Burks,2017-02-11,4
Alec Burks,2017-02-13,8
Alec Burks,2017-02-15,6
Alec Burks,2017-02-24,2
Alec Burks,2017-02-26,4
Alec Burks,2017-02-28,9
Alec Burks,2017-03-01,11
Alec Burks,2017-03-03,11
Alec Burks,2017-03-05,6
Alec Burks,2017-03-06,9
Alec Burks,2017-03-08,8
Alec Burks,2017-03-11,11
Alec Burks,2017-03-13,2
Alec Burks,2017-03-15,8
Alec Burks,2017-03-16,9
Alec Burks,2017-03-18,11
Alec Burks,2017-03-20,4
Alec Burks,2017-03-22,4
Alec Burks,2017-03-25,3
Alec Burks,2017-03-29,3
Alec Burks,2017-04-04,6
Alec Burks,2017-04-08,4
Alec Burks,2017-04-10,5
Alec Burks,2017-04-12,1
Alex Abrines,2016-10-26,2
Alex Abrines,2016-10-30,1
Alex Abrines,2016-11-02,2
Alex Abrines,2016-11-03,6
Alex Abrines,2016-11-05,1
Alex Abrines,2016-11-07,9
Alex Abrines,2016-11-09,1
Alex Abrines,2016-11-11,2
Alex Abrines,2016-11-13,7
Alex Abrines,2016-11-14,7
Alex Abrines,2016-11-16,4
Alex Abrines,2016-11-18,10
Alex Abrines,2016-11-20,9
Alex Abrines,2016-11-22,2
Alex Abrines,2016-11-23,2
Alex Abrines,2016-12-13,7
Alex Abrines,2016-12-14,2
Alex Abrines,2016-12-17,2
Alex Abrines,2016-12-19,8
Alex Abrines,2016-12-21,12
Alex Abrines,2016-12-23,2
Alex Abrines,2016-12-25,9
Alex Abrines,2016-12-27,9
Alex Abrines,2016-12-29,11
Alex Abrines,2016-12-31,5
Alex Abrines,2017-01-02,6
Alex Abrines,2017-01-04,6
Alex Abrines,2017-01-05,2
Alex Abrines,2017-01-07,4
Alex Abrines,2017-01-09,6
Alex Abrines,2017-01-11,3
Alex Abrines,2017-01-13,1
Alex Abrines,2017-01-15,5
Alex Abrines,2017-01-16,4
Alex Abrines,2017-01-18,1
Alex Abrines,2017-01-23,4
Alex Abrines,2017-01-25,5
Alex Abrines,2017-01-26,3
Alex Abrines,2017-01-29,1
Alex Abrines,2017-02-06,4
Alex Abrines,2017-02-09,2
Alex Abrines,2017-02-13,7
Alex Abrines,2017-02-15,5
Alex Abrines,2017-02-24,13
Alex Abrines,2017-02-26,12
Alex Abrines,2017-02-28,4
Alex Abrines,2017-03-02,3
Alex Abrines,2017-03-03,11
Alex Abrines,2017-03-05,3
Alex Abrines,2017-03-07,5
Alex Abrines,2017-03-09,6
Alex Abrines,2017-03-11,3
Alex Abrines,2017-03-14,7
Alex Abrines,2017-03-16,7
Alex Abrines,2017-03-18,3
Alex Abrines,2017-03-20,8
Alex Abrines,2017-03-22,6
Alex Abrines,2017-03-26,10
Alex Abrines,2017-03-27,2
Alex Abrines,2017-03-29,8
Alex Abrines,2017-03-31,5
Alex Abrines,2017-04-02,4
Alex Abrines,2017-04-04,6
Alex Abrines,2017-04-11,3
Alex Abrines,2017-04-12,11
Alex Len,2016-10-26,6
Alex Len,2016-10-28,4
Alex Len,2016-10-30,7
Alex Len,2016-10-31,13
Alex Len,2016-11-02,10
Alex Len,2016-11-04,4
Alex Len,2016-11-06,4
Alex Len,2016-11-08,5
Alex Len,2016-11-09,10
Alex Len,2016-11-12,10
Alex Len,2016-11-13,5
Alex Len,2016-11-16,4
Alex Len,2016-11-18,7
Alex Len,2016-11-19,7
Alex Len,2016-11-21,5
Alex Len,2016-11-23,10
Alex Len,2016-11-25,6
Alex Len,2016-11-27,5
Alex Len,2016-11-30,4
Alex Len,2016-12-03,3
Alex Len,2016-12-06,9
Alex Len,2016-12-07,5
Alex Len,2016-12-09,10
Alex Len,2016-12-11,5
Alex Len,2016-12-17,6
Alex Len,2016-12-19,1
Alex Len,2016-12-21,5
Alex Len,2016-12-23,4
Alex Len,2016-12-26,2
Alex Len,2016-12-28,4
Alex Len,2016-12-29,5
Alex Len,2016-12-31,5
Alex Len,2017-01-02,10
Alex Len,2017-01-03,7
Alex Len,2017-01-05,12
Alex Len,2017-01-08,3
Alex Len,2017-01-12,4
Alex Len,2017-01-14,2
Alex Len,2017-01-16,4
Alex Len,2017-01-19,3
Alex Len,2017-01-21,3
Alex Len,2017-01-22,3
Alex Len,2017-01-24,5
Alex Len,2017-01-26,5
Alex Len,2017-01-28,1
Alex Len,2017-01-30,6
Alex Len,2017-02-01,2
Alex Len,2017-02-03,2
Alex Len,2017-02-04,5
Alex Len,2017-02-06,4
Alex Len,2017-02-08,8
Alex Len,2017-02-11,8
Alex Len,2017-02-13,10
Alex Len,2017-02-15,10
Alex Len,2017-02-24,6
Alex Len,2017-02-26,7
Alex Len,2017-02-28,7
Alex Len,2017-03-02,3
Alex Len,2017-03-03,4
Alex Len,2017-03-05,7
Alex Len,2017-03-07,4
Alex Len,2017-03-09,7
Alex Len,2017-03-15,4
Alex Len,2017-03-17,12
Alex Len,2017-03-19,11
Alex Len,2017-03-21,13
Alex Len,2017-03-23,6
Alex Len,2017-03-24,5
Alex Len,2017-03-26,5
Alex Len,2017-03-28,9
Alex Len,2017-03-30,4
Alex Len,2017-04-01,6
Alex Len,2017-04-02,6
Alex Len,2017-04-05,6
Alex Len,2017-04-07,9
Alex Len,2017-04-09,7
Alex Len,2017-04-11,7
Alex Poythress,2017-04-02,8
Alex Poythress,2017-04-04,10
Alex Poythress,2017-04-06,6
Alex Poythress,2017-04-08,8
Alex Poythress,2017-04-10,8
Alex Poythress,2017-04-12,14
Alexis Ajinca,2016-10-26,2
Alexis Ajinca,2016-10-29,5
Alexis Ajinca,2016-11-01,2
Alexis Ajinca,2016-11-07,2
Alexis Ajinca,2016-11-12,4
Alexis Ajinca,2016-11-14,4
Alexis Ajinca,2016-11-16,8
Alexis Ajinca,2016-11-27,3
Alexis Ajinca,2016-12-02,3
Alexis Ajinca,2016-12-05,6
Alexis Ajinca,2016-12-08,6
Alexis Ajinca,2016-12-10,7
Alexis Ajinca,2016-12-11,5
Alexis Ajinca,2016-12-13,1
Alexis Ajinca,2016-12-15,2
Alexis Ajinca,2016-12-16,7
Alexis Ajinca,2016-12-18,12
Alexis Ajinca,2016-12-20,2
Alexis Ajinca,2016-12-23,5
Alexis Ajinca,2017-02-13,5
Alexis Ajinca,2017-02-15,6
Alexis Ajinca,2017-02-26,1
Alexis Ajinca,2017-03-01,7
Alexis Ajinca,2017-03-05,3
Alexis Ajinca,2017-03-06,2
Alexis Ajinca,2017-03-08,4
Alexis Ajinca,2017-03-14,1
Alexis Ajinca,2017-03-15,2
Alexis Ajinca,2017-03-17,4
Alexis Ajinca,2017-03-21,3
Alexis Ajinca,2017-03-26,6
Alexis Ajinca,2017-03-27,3
Alexis Ajinca,2017-04-04,1
Alexis Ajinca,2017-04-07,10
Alexis Ajinca,2017-04-08,14
Alexis Ajinca,2017-04-11,8
Alexis Ajinca,2017-04-12,12
Allen Crabbe,2016-10-25,10
Allen Crabbe,2016-10-27,7
Allen Crabbe,2016-10-29,10
Allen Crabbe,2016-11-01,2
Allen Crabbe,2016-11-02,9
Allen Crabbe,2016-11-04,9
Allen Crabbe,2016-11-06,4
Allen Crabbe,2016-11-08,6
Allen Crabbe,2016-11-09,6
Allen Crabbe,2016-11-11,10
Allen Crabbe,2016-11-13,8
Allen Crabbe,2016-11-15,12
Allen Crabbe,2016-11-17,5
Allen Crabbe,2016-11-18,6
Allen Crabbe,2016-11-20,10
Allen Crabbe,2016-11-22,7
Allen Crabbe,2016-11-23,6
Allen Crabbe,2016-11-25,6
Allen Crabbe,2016-11-27,5
Allen Crabbe,2016-11-30,8
Allen Crabbe,2016-12-03,11
Allen Crabbe,2016-12-05,15
Allen Crabbe,2016-12-07,7
Allen Crabbe,2016-12-08,9
Allen Crabbe,2016-12-10,4
Allen Crabbe,2016-12-12,9
Allen Crabbe,2016-12-13,8
Allen Crabbe,2016-12-15,6
Allen Crabbe,2016-12-17,5
Allen Crabbe,2016-12-20,7
Allen Crabbe,2016-12-21,9
Allen Crabbe,2016-12-23,7
Allen Crabbe,2016-12-26,11
Allen Crabbe,2016-12-28,8
Allen Crabbe,2016-12-30,9
Allen Crabbe,2017-01-01,10
Allen Crabbe,2017-01-04,11
Allen Crabbe,2017-01-05,10
Allen Crabbe,2017-01-08,15
Allen Crabbe,2017-01-10,8
Allen Crabbe,2017-01-11,11
Allen Crabbe,2017-01-13,10
Allen Crabbe,2017-01-16,6
Allen Crabbe,2017-01-18,7
Allen Crabbe,2017-01-20,3
Allen Crabbe,2017-01-21,10
Allen Crabbe,2017-01-25,9
Allen Crabbe,2017-01-27,12
Allen Crabbe,2017-01-29,7
Allen Crabbe,2017-01-31,10
Allen Crabbe,2017-02-03,4
Allen Crabbe,2017-02-05,10
Allen Crabbe,2017-02-07,6
Allen Crabbe,2017-02-09,8
Allen Crabbe,2017-02-13,5
Allen Crabbe,2017-02-15,8
Allen Crabbe,2017-02-23,3
Allen Crabbe,2017-02-26,6
Allen Crabbe,2017-02-28,7
Allen Crabbe,2017-03-02,8
Allen Crabbe,2017-03-04,3
Allen Crabbe,2017-03-07,10
Allen Crabbe,2017-03-09,12
Allen Crabbe,2017-03-11,10
Allen Crabbe,2017-03-12,8
Allen Crabbe,2017-03-14,8
Allen Crabbe,2017-03-15,7
Allen Crabbe,2017-03-18,10
Allen Crabbe,2017-03-19,9
Allen Crabbe,2017-03-21,11
Allen Crabbe,2017-03-23,8
Allen Crabbe,2017-03-25,7
Allen Crabbe,2017-03-26,12
Allen Crabbe,2017-03-28,8
Allen Crabbe,2017-03-30,11
Allen Crabbe,2017-04-01,8
Allen Crabbe,2017-04-03,11
Allen Crabbe,2017-04-04,7
Allen Crabbe,2017-04-06,12
Alonzo Gee,2016-11-20,1
Alonzo Gee,2016-11-23,1
Alonzo Gee,2016-11-25,8
Alonzo Gee,2016-11-27,1
Alonzo Gee,2016-12-02,1
Alonzo Gee,2016-12-03,1
Alonzo Gee,2017-01-05,1
Amir Johnson,2016-10-26,6
Amir Johnson,2016-10-27,4
Amir Johnson,2016-10-29,4
Amir Johnson,2016-11-02,11
Amir Johnson,2016-11-03,5
Amir Johnson,2016-11-06,5
Amir Johnson,2016-11-09,5
Amir Johnson,2016-11-11,1
Amir Johnson,2016-11-12,8
Amir Johnson,2016-11-14,7
Amir Johnson,2016-11-16,4
Amir Johnson,2016-11-18,5
Amir Johnson,2016-11-19,5
Amir Johnson,2016-11-21,2
Amir Johnson,2016-11-23,2
Amir Johnson,2016-11-25,5
Amir Johnson,2016-11-28,2
Amir Johnson,2016-11-30,7
Amir Johnson,2016-12-02,3
Amir Johnson,2016-12-03,4
Amir Johnson,2016-12-05,1
Amir Johnson,2016-12-07,7
Amir Johnson,2016-12-09,4
Amir Johnson,2016-12-11,8
Amir Johnson,2016-12-14,3
Amir Johnson,2016-12-16,1
Amir Johnson,2016-12-18,5
Amir Johnson,2016-12-20,4
Amir Johnson,2016-12-22,7
Amir Johnson,2016-12-23,10
Amir Johnson,2016-12-25,6
Amir Johnson,2016-12-27,6
Amir Johnson,2016-12-29,2
Amir Johnson,2016-12-30,3
Amir Johnson,2017-01-03,7
Amir Johnson,2017-01-06,6
Amir Johnson,2017-01-07,6
Amir Johnson,2017-01-10,5
Amir Johnson,2017-01-16,3
Amir Johnson,2017-01-18,6
Amir Johnson,2017-01-21,2
Amir Johnson,2017-01-24,2
Amir Johnson,2017-01-25,2
Amir Johnson,2017-01-27,6
Amir Johnson,2017-01-28,7
Amir Johnson,2017-01-30,5
Amir Johnson,2017-02-01,2
Amir Johnson,2017-02-03,2
Amir Johnson,2017-02-05,9
Amir Johnson,2017-02-08,7
Amir Johnson,2017-02-09,5
Amir Johnson,2017-02-11,2
Amir Johnson,2017-02-13,4
Amir Johnson,2017-02-15,4
Amir Johnson,2017-02-16,6
Amir Johnson,2017-02-24,3
Amir Johnson,2017-02-26,3
